"Mission PPO",,,,,,,,,,,,
"Date","Que Level","Que","Dev",,,"Dhruvi",,,,,,
,,,"Approach","No. of Revision","Comments","Approach","No. of Revision","Comments",,,,
2023-12-08,"E","maximum-and-minimum-in-an-array","Normal (O(n)) , Sort(O(logn))",0,"can optimize it.",,,,,,,
2023-12-08,"M","next-permutation","BruteForce(beat 23% too lengthy)",1,"attempted same que 3-4 months ago but forgot the exact method",,,,,"Account id ","Dev","Dhruvi"
2023-12-09,"E","to-reverse-an-array-or-string",,,,,,,,"GFG","dev080t7t","dhruvi9mgg"
2023-12-09,"M","best-time-to-buy-and-sell-stock",,,,,,,,"LeetCode","dev082004","dhruvi_raj_21"
2023-12-10,"E","maximum-subarray",,,,,,,,"InterviewBit","dev-patel_615",
2023-12-10,"M","repeat-and-missing-number-array",,,,,,,,,,
2023-12-11,"E","Contains Duplicate ",,,,,,,,,,
2023-12-11,"M","Kth Largest Element in an Array",,,,,,,,,,
2023-12-12,"E","Chocolate Distribution Problem ",,,,,,,,,,
2023-12-12,"M","Trapping Rain Water",,,,,,,,,,
